ParticipantID: 5 NoiseType White 3
Calibration test results:
Frequency: 2000.0
Volume 82.61: P(heard) = 0.1000
Volume 95.73: P(heard) = 0.3000
Volume 108.85: P(heard) = 0.1000
Volume 121.97: P(heard) = 0.5000
Volume 135.09: P(heard) = 0.6000
Volume 148.22: P(heard) = 0.7000
Frequency: 200.0
Volume 102.35: P(heard) = 0.6000
Volume 137.34: P(heard) = 0.8000
Volume 172.34: P(heard) = 0.8000
Volume 207.34: P(heard) = 0.9000
Volume 242.34: P(heard) = 0.8000
Volume 277.33: P(heard) = 1.0000
Frequency: 1000.0
Volume 74.58: P(heard) = 0.3000
Volume 100.08: P(heard) = 0.5000
Volume 125.59: P(heard) = 1.0000
Volume 151.09: P(heard) = 1.0000
Volume 176.59: P(heard) = 1.0000
Volume 202.09: P(heard) = 1.0000
Frequency: 500.0
Volume 80.72: P(heard) = 0.9000
Volume 93.54: P(heard) = 0.7000
Volume 106.36: P(heard) = 1.0000
Volume 119.18: P(heard) = 1.0000
Volume 132.01: P(heard) = 1.0000
Volume 144.83: P(heard) = 1.0000
Volume 157.65: P(heard) = 1.0000
Frequency: 4000.0
Volume 103.06: P(heard) = 0.0000
Volume 112.72: P(heard) = 0.1000
Volume 122.38: P(heard) = 0.1000
Volume 132.04: P(heard) = 0.4000
Volume 141.70: P(heard) = 0.4000
Volume 151.37: P(heard) = 0.5000

### Sample Size = 1 ###
Calibration Freqs: [200.0, 500.0, 1000.0, 2000.0, 4000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,124.38,0.00,0.00,0.10,0.00,0,0,false,
1760.00,80.68,0.05,0.06,0.10,0.57,0,2,false,
880.00,87.28,0.20,0.62,0.10,0.00,9,15,false,
220.00,224.68,1.00,1.00,0.10,0.00,20,20,false,

Calibration Freqs: [200.0, 1000.0, 4000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,124.38,0.00,0.16,0.10,0.00,1,5,false,
1760.00,80.68,0.05,0.18,0.10,0.26,1,6,false,
880.00,87.28,0.20,0.57,0.10,0.01,8,14,false,
220.00,224.68,1.00,1.00,0.10,0.00,20,20,false,

Calibration Freqs: [500.0, 1000.0, 2000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,124.38,0.00,0.00,0.10,0.00,0,0,false,
1760.00,80.68,0.05,0.06,0.10,0.57,0,2,false,
880.00,87.28,0.20,0.62,0.10,0.00,9,15,false,
220.00,224.68,1.00,1.00,0.10,0.00,20,20,false,

Calibration Freqs: [500.0, 2000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,124.38,0.00,0.00,0.10,0.00,0,0,false,
1760.00,80.68,0.05,0.16,0.10,0.26,1,5,false,
880.00,87.28,0.20,0.75,0.10,0.00,12,17,false,
220.00,224.68,1.00,1.00,0.10,0.00,20,20,false,

Calibration Freqs: [1000.0, 4000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,124.38,0.00,0.16,0.10,0.00,1,5,false,
1760.00,80.68,0.05,0.18,0.10,0.26,1,6,false,
880.00,87.28,0.20,0.50,0.10,0.09,6,13,false,
220.00,224.68,1.00,1.00,0.10,0.00,20,20,false,

Calibration Freqs: [200.0, 1000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,124.38,0.00,1.00,0.10,0.00,20,20,false,
1760.00,80.68,0.05,0.24,0.10,0.08,2,7,false,
880.00,87.28,0.20,0.57,0.10,0.01,8,14,false,
220.00,224.68,1.00,1.00,0.10,0.00,20,20,false,

### Sample Size = 3 ###
Calibration Freqs: [200.0, 500.0, 1000.0, 2000.0, 4000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,124.38,0.00,0.15,0.10,0.00,1,5,false,
1760.00,80.68,0.05,0.29,0.10,0.02,3,8,false,
880.00,87.28,0.20,0.49,0.10,0.09,6,13,false,
220.00,224.68,1.00,0.84,0.10,0.00,14,18,false,

Calibration Freqs: [200.0, 1000.0, 4000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,124.38,0.00,0.16,0.10,0.00,1,5,false,
1760.00,80.68,0.05,0.12,0.10,0.64,0,4,false,
880.00,87.28,0.20,0.38,0.10,0.37,4,10,false,
220.00,224.68,1.00,0.84,0.10,0.00,14,18,false,

Calibration Freqs: [500.0, 1000.0, 2000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,124.38,0.00,0.61,0.10,0.00,8,15,false,
1760.00,80.68,0.05,0.29,0.10,0.02,3,8,false,
880.00,87.28,0.20,0.49,0.10,0.09,6,13,false,
220.00,224.68,1.00,1.00,0.10,0.00,20,20,false,

Calibration Freqs: [500.0, 2000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
3520.00,124.38,0.00,0.61,0.10,0.00,8,15,false,
1760.00,80.68,0.05,0.44,0.10,0.00,5,11,false,
880.00,87.28,0.20,0.83,0.10,0.00,14,18,false,
220.00,224.68,1.00,1.00,0.10,0.00,20,20,false,

Calibration Freqs: [1000.0, 4000.0]
Frequency(Hz),Volume,confProb,modelProb,alpha,beta,critLow,critHigh,sigDifferent
